FL_DATE,Max_Temp,Mean_Temp,Min_Temp, Max_Visibility, Mean_Visibility, MinVisibility, Max_Wind_Speed, Mean_Wind_Speed, Cloud_Cover, Events
5/7/14,64,57,50,10,10,10,20,10,6,
5/8/14,58,55,51,10,6,0,12,5,8,Rain
5/9/14,63,60,56,10,4,0,15,9,8,Fog-Rain-Thunderstorm
5/10/14,77,66,54,10,4,0,32,9,7,Fog-Rain
5/11/14,79,70,61,10,10,5,21,9,3,Rain
5/12/14,76,66,56,10,10,10,22,8,5,
5/13/14,70,61,51,10,10,8,23,12,6,
5/14/14,64,57,50,10,9,0,14,8,7,
5/15/14,71,66,60,10,3,0,24,15,8,Rain
5/16/14,66,63,60,10,4,1,33,21,8,Rain
5/17/14,70,63,55,10,10,10,22,10,4,Rain
5/18/14,69,61,52,10,10,10,20,10,3,
5/19/14,74,62,50,10,10,10,26,11,2,
5/20/14,79,67,55,10,10,10,22,11,3,
5/21/14,75,68,60,10,10,10,14,8,7,
5/22/14,62,60,58,10,8,2,15,7,8,Rain-Thunderstorm
5/23/14,69,63,57,10,7,1,20,7,8,Rain-Thunderstorm
5/24/14,70,64,57,10,10,5,16,8,7,Rain
5/25/14,78,67,56,10,10,7,21,9,3,
5/26/14,85,73,60,10,10,10,23,13,6,
5/27/14,84,74,64,10,10,10,22,9,7,
5/28/14,67,60,53,10,10,10,20,12,8,
5/29/14,62,57,52,10,10,10,15,8,6,
5/30/14,70,62,53,10,10,9,20,7,5,Rain
5/31/14,72,64,55,10,10,10,26,11,3,
6/1/14,75,65,54,10,10,10,14,8,3,
6/2/14,74,66,57,10,10,10,22,10,1,
6/3/14,80,71,62,10,10,10,22,8,3,Rain
6/4/14,82,73,63,10,10,8,21,7,7,
6/5/14,77,70,62,10,8,2,23,12,7,Rain
6/6/14,79,71,63,10,10,10,21,13,5,
6/7/14,80,71,61,10,10,10,16,8,2,
6/8/14,85,73,61,10,10,10,14,6,5,
6/9/14,68,66,63,10,8,2,14,6,8,Rain-Thunderstorm
6/10/14,78,73,67,10,8,0,12,5,7,
6/11/14,70,66,61,10,10,2,20,12,8,Rain
6/12/14,76,69,61,10,8,0,21,11,8,Rain
6/13/14,81,74,67,10,4,0,21,8,8,Fog-Rain-Thunderstorm
6/14/14,79,71,62,10,9,0,28,13,6,
6/15/14,82,71,60,10,10,10,22,12,4,
6/16/14,77,71,64,10,10,10,14,8,5,
6/17/14,82,75,68,10,10,9,18,8,6,
6/18/14,91,83,74,10,10,10,28,12,4,
6/19/14,76,73,69,10,10,9,23,8,6,Rain
6/20/14,83,74,65,10,10,10,18,11,5,
6/21/14,75,69,62,10,10,6,15,8,5,
6/22/14,77,69,61,10,10,10,14,6,3,
6/23/14,81,72,62,10,10,10,20,8,4,
6/24/14,79,72,65,10,10,10,29,14,4,
6/25/14,83,76,68,10,8,1,24,13,7,
6/26/14,89,80,70,10,9,3,18,8,6,Rain
6/27/14,79,72,65,10,10,10,17,8,5,
6/28/14,86,76,66,10,10,10,16,8,4,
6/29/14,79,72,65,10,10,10,20,9,6,
6/30/14,80,74,67,10,10,10,24,13,5,
7/1/14,84,78,71,10,10,10,30,15,5,
7/2/14,85,78,71,10,10,2,30,12,5,Rain-Thunderstorm
7/3/14,85,78,71,10,10,6,28,9,7,Rain-Thunderstorm
7/4/14,76,71,66,10,9,6,31,15,7,Rain
7/5/14,84,75,65,10,10,10,25,14,1,
7/6/14,83,75,66,10,10,10,23,13,3,
7/7/14,83,77,70,10,10,10,21,12,4,
7/8/14,88,80,72,10,10,9,32,15,6,
7/9/14,84,78,71,10,10,10,22,12,5,
7/10/14,85,78,71,10,10,6,15,6,6,Rain-Thunderstorm
7/11/14,85,76,67,10,10,7,15,7,4,
7/12/14,82,74,66,10,8,1,20,10,4,Fog
7/13/14,80,75,69,10,10,8,29,16,6,Rain
7/14/14,83,77,70,10,8,2,21,7,7,Rain-Thunderstorm
7/15/14,82,76,69,10,5,0,17,7,8,Rain-Thunderstorm
7/16/14,83,77,70,10,10,3,18,9,7,Rain
7/17/14,82,75,67,10,10,10,15,9,5,
7/18/14,84,75,65,10,10,10,16,7,4,
7/19/14,79,74,68,10,10,10,15,7,7,
7/20/14,78,73,68,10,10,10,20,9,6,Rain
7/21/14,83,74,65,10,10,10,14,7,3,
7/22/14,84,76,68,10,10,10,25,13,2,
7/23/14,83,77,71,10,10,4,28,13,4,Rain-Thunderstorm
7/24/14,83,78,72,10,10,10,20,11,7,Rain
7/25/14,83,75,67,10,10,10,16,10,3,
7/26/14,81,75,69,10,10,10,18,10,5,Rain
7/27/14,84,78,71,10,10,10,22,12,6,Rain
7/28/14,84,77,69,10,9,6,31,16,5,Rain-Thunderstorm
7/29/14,79,72,64,10,10,10,21,11,4,
7/30/14,80,72,64,10,10,10,20,9,3,
7/31/14,82,74,65,10,10,10,23,12,4,
8/1/14,82,77,71,10,10,9,18,8,7,Rain
8/2/14,76,71,65,10,9,5,18,8,8,Rain
8/3/14,78,72,66,10,10,6,10,5,7,Rain
8/4/14,81,76,70,10,10,10,21,10,6,
8/5/14,85,78,70,10,10,10,18,8,3,
8/6/14,85,78,71,10,10,10,24,9,5,Rain
8/7/14,86,77,67,10,10,10,24,11,2,
8/8/14,84,75,65,10,10,10,16,6,4,
8/9/14,86,76,66,10,10,10,15,7,2,
8/10/14,87,78,68,10,10,10,14,7,3,
8/11/14,84,76,67,10,10,10,14,8,4,
8/12/14,80,76,72,10,10,7,32,15,8,Rain
8/13/14,85,77,68,10,8,2,35,14,7,Rain
8/14/14,80,73,65,10,10,10,21,13,3,
8/15/14,76,69,62,10,10,10,20,11,5,
8/16/14,77,70,63,10,10,10,17,10,5,
8/17/14,85,76,66,10,10,10,18,11,5,
8/18/14,82,73,63,10,10,10,17,8,3,
8/19/14,80,72,64,10,10,10,14,7,4,
8/20/14,80,73,66,10,10,10,13,5,4,
8/21/14,79,73,67,10,10,7,15,7,6,Rain-Thunderstorm
8/22/14,78,73,67,10,10,6,16,8,7,Rain
8/23/14,74,70,66,10,10,10,14,6,7,
8/24/14,81,72,62,10,10,10,17,6,3,
8/25/14,87,75,63,10,10,10,12,5,1,
8/26/14,82,75,67,10,10,10,14,7,3,
8/27/14,86,77,67,10,10,10,17,9,2,
8/28/14,84,76,68,10,10,10,23,13,3,
8/29/14,78,71,63,10,10,10,15,9,4,
8/30/14,78,71,63,10,10,10,18,10,6,
8/31/14,85,79,73,10,10,3,25,10,7,Rain-Thunderstorm
9/1/14,86,80,74,10,10,10,16,9,6,Rain
9/2/14,92,83,74,10,10,8,25,11,4,
9/3/14,88,80,72,10,10,10,21,9,5,
9/4/14,85,77,68,10,10,10,21,9,2,Fog
9/5/14,85,78,71,10,10,10,18,10,4,
9/6/14,86,77,68,10,10,7,23,11,6,Rain-Thunderstorm
9/7/14,82,74,66,10,10,10,18,7,6,
9/8/14,78,72,65,10,10,10,18,11,6,
9/9/14,75,70,64,10,10,10,17,11,7,
9/10/14,78,71,63,10,10,10,13,8,5,
9/11/14,85,77,69,10,10,10,22,13,6,
9/12/14,79,71,63,10,10,10,18,11,5,
9/13/14,70,65,60,10,9,2,24,11,7,Rain
9/14/14,72,63,54,10,10,10,18,9,4,
9/15/14,71,63,55,10,10,10,14,8,3,
9/16/14,67,64,60,10,9,4,8,5,7,Rain
9/17/14,73,64,55,10,10,10,15,6,2,
9/18/14,78,68,57,10,10,10,16,6,2,
9/19/14,67,62,56,10,10,10,18,11,3,
9/20/14,75,65,54,10,10,10,21,9,6,
9/21/14,77,72,67,10,8,1,16,5,7,Rain
9/22/14,73,64,55,10,10,9,25,16,5,Rain
9/23/14,69,60,51,10,10,10,14,6,3,
9/24/14,72,64,56,10,10,10,20,10,6,
9/25/14,64,62,60,10,9,6,22,15,7,Rain
9/26/14,79,69,59,10,10,10,18,8,2,
9/27/14,84,73,62,10,10,10,14,7,0,
9/28/14,78,70,62,10,10,10,15,7,4,
9/29/14,78,71,64,10,10,10,14,5,7,Rain
9/30/14,70,66,62,10,9,4,12,6,7,Rain
10/1/14,67,65,62,10,10,7,16,11,8,Rain
10/2/14,68,65,61,10,10,10,20,8,7,
10/3/14,68,62,55,10,10,10,14,7,5,
10/4/14,72,62,52,10,8,2,28,16,6,Rain
10/5/14,61,54,47,10,10,10,21,13,1,
10/6/14,70,58,45,10,10,10,25,14,1,
10/7/14,74,70,65,10,10,10,28,17,6,Rain
10/8/14,75,69,62,10,10,10,33,17,5,Rain
10/9/14,69,63,56,10,10,10,24,14,4,
10/10/14,64,58,52,10,10,10,15,6,6,
10/11/14,59,55,50,10,9,3,17,8,7,Rain
10/12/14,65,56,46,10,10,10,15,7,3,
10/13/14,66,56,46,10,9,3,15,6,7,Rain
10/14/14,75,70,64,10,10,10,22,13,6,
10/15/14,76,72,68,10,10,7,23,17,7,Rain
10/16/14,71,66,60,10,8,0,24,13,7,Rain
10/17/14,72,66,60,10,10,10,21,13,3,
10/18/14,72,65,57,10,10,10,22,13,6,
10/19/14,58,51,44,10,10,10,29,17,4,
10/20/14,61,52,42,10,10,10,20,10,6,
10/21/14,67,60,53,10,10,10,14,6,6,Rain
10/22/14,58,55,52,10,9,5,31,18,8,Rain-Thunderstorm
10/23/14,54,53,51,10,10,6,29,21,8,Rain
10/24/14,63,57,51,10,10,10,23,11,6,
10/25/14,68,59,50,10,10,10,22,12,2,
10/26/14,65,60,54,10,10,10,29,17,5,
10/27/14,64,57,50,10,10,10,18,11,2,
10/28/14,70,59,48,10,10,10,15,7,5,
10/29/14,74,63,52,10,10,9,24,10,7,Rain
10/30/14,61,54,46,10,10,6,18,9,2,Fog
10/31/14,55,51,46,10,10,7,23,10,7,Rain
11/1/14,49,46,43,10,9,6,25,18,8,Rain
11/2/14,50,46,41,10,10,10,44,26,6,Rain
11/3/14,61,51,40,10,10,10,31,15,3,
11/4/14,67,59,50,10,10,10,17,10,6,
11/5/14,65,59,52,10,10,10,21,10,7,
11/6/14,54,52,49,10,8,2,14,6,8,Rain
11/7/14,54,48,41,10,10,9,29,18,5,Rain
11/8/14,48,42,36,10,10,10,22,12,5,
11/9/14,57,51,44,10,10,10,17,8,5,
11/10/14,59,49,38,10,10,9,10,4,2,
11/11/14,64,53,42,10,7,0,15,5,6,Fog
11/12/14,66,56,45,10,5,0,23,7,5,Fog-Rain
11/13/14,49,44,38,10,10,7,16,8,5,Rain
11/14/14,44,41,37,10,10,10,23,14,5,Rain
11/15/14,43,37,30,10,10,10,17,9,2,
11/16/14,45,38,31,10,10,10,15,7,7,Rain
11/17/14,55,48,40,10,5,0,29,9,8,Rain
11/18/14,46,36,25,10,10,10,32,24,2,
11/19/14,37,30,23,10,10,10,28,16,3,
11/20/14,48,40,32,10,10,10,24,17,5,
11/21/14,38,33,28,10,10,10,25,16,1,
11/22/14,44,35,26,10,10,10,24,14,4,
11/23/14,55,49,43,10,10,10,18,10,7,
11/24/14,64,60,55,10,5,0,35,20,6,Rain
11/25/14,62,55,48,10,10,9,21,11,7,
11/26/14,52,44,36,10,6,2,26,16,8,Rain-Snow
11/27/14,39,38,36,10,10,6,22,11,8,Rain-Snow
11/28/14,41,35,28,10,10,10,24,14,3,
11/29/14,46,36,26,10,10,10,18,6,7,
11/30/14,53,49,45,10,10,10,22,10,7,
12/1/14,62,52,42,10,10,10,26,9,7,Rain
12/2/14,47,42,36,10,9,5,21,14,8,Rain
12/3/14,48,45,42,10,6,0,23,11,7,Rain
12/4/14,47,42,36,10,10,10,17,10,5,
12/5/14,50,43,35,10,8,4,20,10,7,Rain
12/6/14,52,47,41,10,6,2,26,7,8,Rain
12/7/14,44,38,31,10,10,10,32,22,4,Rain
12/8/14,37,32,26,10,10,10,23,15,7,
12/9/14,48,43,37,10,6,2,38,22,8,Rain
12/10/14,42,38,34,10,6,2,24,16,8,Rain-Snow
12/11/14,40,36,32,10,10,6,26,17,7,Snow
12/12/14,41,37,33,10,10,10,25,16,6,
12/13/14,47,41,34,10,10,10,24,16,4,
12/14/14,47,42,37,10,10,10,17,12,4,
12/15/14,48,41,34,10,10,10,12,5,2,
12/16/14,50,42,33,10,7,2,14,4,7,Rain
12/17/14,55,49,43,10,8,1,24,13,7,Rain
12/18/14,44,41,38,10,10,10,30,16,5,
12/19/14,40,36,32,10,10,10,22,15,5,
12/20/14,34,33,31,10,10,10,14,6,8,
12/21/14,38,36,33,10,10,10,13,7,8,Snow
12/22/14,48,43,37,10,9,5,18,9,8,Rain
12/23/14,50,49,47,10,5,1,20,11,8,Rain
12/24/14,57,52,47,3,1,0,25,10,8,Fog-Rain
12/25/14,57,50,42,10,8,0,30,17,5,Fog-Rain
12/26/14,51,45,38,10,10,10,16,11,1,
12/27/14,54,46,37,10,10,10,14,6,4,
12/28/14,54,48,42,10,10,6,21,10,7,Rain
12/29/14,46,41,35,10,10,10,20,11,6,
12/30/14,36,32,28,10,10,10,17,9,5,
12/31/14,34,31,28,10,10,10,18,11,3,
